Transaction ID,Date,Product Name,Quantity Sold,Sales Price per Unit ($),Discount (%),Stock After Sale,Returned,Weather Condition,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Is Holiday,Is Weekend,Is Special Event,Season,Category,Total Sales ($),Total Sales After Discount ($),Net Sales Value ($),Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Future_7_Day_Sales
T1674,2024-11-05,Bookshelf,3,653.92,5,292,1,Rainy,0.16,30,42.76,83.54,0,0,0,Summer,Furniture,1961.76,1863.672,1209.752,17,6,19,18
T1675,2024-11-06,Watch,16,220.21,20,438,0,Rainy,32.66,73,46.02,43.78,1,1,1,Fall,Clothing,3523.36,2818.688,2818.688,7,1,1,13
T1676,2024-11-07,Laptop,13,130.79,20,310,1,Sunny,-3.76,99,45.1,0.31,0,1,1,Winter,Electronics,1700.27,1360.216,1229.426,3,1,7,2
T1677,2024-11-08,Smartphone,17,704.37,10,119,1,Rainy,32.53,81,47.6,87.48,1,1,0,Spring,Electronics,11974.29,10776.861,10072.491,15,17,6,13
T1678,2024-11-09,Board Game,13,122.31,15,383,1,Cloudy,1.31,43,42.11,87.69,0,1,0,Winter,Toys,1590.03,1351.5255,1229.2155,14,6,1,2
T1679,2024-11-10,Camera,6,996.94,10,17,1,Rainy,34.9,11,29.67,80.64,1,1,1,Summer,Electronics,5981.64,5383.476,4386.536,11,12,7,12
T1680,2024-11-11,Microwave,17,191.62,5,493,0,Stormy,27.84,78,20.49,24.83,1,0,0,Summer,Kitchen,3257.54,3094.663,3094.663,14,16,5,1
T1681,2024-11-12,Sneakers,14,598.2,20,331,0,Cloudy,2.41,40,24.58,37.28,1,0,1,Fall,Clothing,8374.8,6699.84,6699.84,1,13,18,2
T1682,2024-11-13,Headphones,17,417.26,10,414,1,Sunny,20.46,77,43.63,74.49,0,1,1,Winter,Electronics,7093.42,6384.078,5966.818,12,17,10,1
T1683,2024-11-14,Wardrobe,8,135.12,15,227,1,Cloudy,9.07,79,15.07,48.94,1,0,0,Winter,Furniture,1080.96,918.816,783.696,4,14,11,13
T1684,2024-11-15,Sneakers,11,37.57,5,361,1,Stormy,3.02,96,7.96,15.38,0,1,1,Spring,Clothing,413.27,392.6065,355.0365,14,6,3,4
T1685,2024-11-16,T-shirt,1,626.5,0,486,1,Stormy,33.66,28,7.04,24.28,1,0,1,Spring,Clothing,626.5,626.5,0,2,3,6,9
T1686,2024-11-17,Camera,7,808.69,10,406,0,Rainy,13.16,81,41.35,97.26,1,0,1,Winter,Electronics,5660.83,5094.747,5094.747,6,9,6,11
T1687,2024-11-18,Action Figure,17,843.6,5,117,1,Rainy,12.93,22,38.07,15.1,1,0,1,Fall,Toys,14341.2,13624.14,12780.54,6,6,16,4
T1688,2024-11-19,Action Figure,10,487.89,0,43,0,Snow,2.64,74,24.88,72.61,0,1,0,Spring,Toys,4878.9,4878.9,4878.9,17,14,6,4
T1689,2024-11-20,Blender,11,779.68,10,368,1,Cloudy,12.24,15,13.74,47.8,0,1,0,Winter,Kitchen,8576.48,7718.832,6939.152,17,6,19,11
T1690,2024-11-21,Coffee Maker,9,676.12,5,115,0,Snow,34.22,80,33.88,74.86,0,1,1,Winter,Kitchen,6085.08,5780.826,5780.826,12,8,17,15
T1691,2024-11-22,Wardrobe,9,727.01,5,283,1,Stormy,11.34,36,1.92,66.11,1,0,1,Winter,Furniture,6543.09,6215.9355,5488.9255,8,1,3,18
T1692,2024-11-23,Dining Table,5,497.67,10,37,0,Rainy,37.82,88,28.41,43.92,0,1,1,Summer,Furniture,2488.35,2239.515,2239.515,10,12,4,15
T1693,2024-11-24,Smartphone,17,637.08,5,302,0,Rainy,37.58,61,19.92,35.39,1,0,1,Fall,Electronics,10830.36,10288.842,10288.842,17,19,5,9
T1694,2024-11-25,Television,9,807.47,20,113,0,Rainy,1.52,96,48.89,75.44,1,0,1,Winter,Electronics,7267.23,5813.784,5813.784,19,3,1,5
T1695,2024-11-26,Wardrobe,17,403.91,10,35,1,Sunny,2.98,57,25.38,32.31,1,1,0,Winter,Furniture,6866.47,6179.823,5775.913,9,2,1,17
T1696,2024-11-27,Monitor,19,807.92,5,132,0,Stormy,33.82,97,27.61,78.78,1,0,0,Winter,Electronics,15350.48,14582.956,14582.956,13,15,8,4
T1697,2024-11-28,Action Figure,7,596.1,0,336,1,Rainy,12.67,88,35.62,67.98,1,0,0,Spring,Toys,4172.7,4172.7,3576.6,10,5,16,5
T1698,2024-11-29,Action Figure,9,174.24,0,336,0,Stormy,-4.8,77,24.23,57.77,0,0,1,Winter,Toys,1568.16,1568.16,1568.16,7,3,1,8
T1699,2024-11-30,Sneakers,7,34.44,20,469,0,Rainy,7.32,53,11.23,36.88,0,1,1,Summer,Clothing,241.08,192.864,192.864,11,2,11,18
T1700,2024-12-01,Sneakers,13,369.13,10,410,1,Cloudy,21.89,26,26.86,20.51,1,1,1,Summer,Clothing,4798.69,4318.821,3949.691,7,18,1,6
T1701,2024-12-02,Headphones,11,551.23,5,377,0,Stormy,30.97,47,47.21,71.04,1,1,0,Fall,Electronics,6063.53,5760.3535,5760.3535,17,9,10,6
T1702,2024-12-03,T-shirt,14,841.42,5,228,1,Snow,1,19,20.5,9.13,0,0,1,Winter,Clothing,11779.88,11190.886,10349.466,1,15,4,5
T1703,2024-12-04,Sneakers,19,136.21,0,147,1,Sunny,-0.03,63,33.98,97.05,1,0,0,Winter,Clothing,2587.99,2587.99,2451.78,13,14,18,4
T1704,2024-12-05,Toy Car,11,802.2,20,122,1,Snow,36.49,15,48.9,97.87,1,1,1,Winter,Toys,8824.2,7059.36,6257.16,8,14,15,19
T1705,2024-12-06,Sofa,13,864.38,0,81,1,Stormy,28.8,15,41.5,13.02,1,0,1,Summer,Furniture,11236.94,11236.94,10372.56,3,4,13,16
T1706,2024-12-07,Monitor,14,159.18,0,173,0,Rainy,21.54,61,32.95,10.39,1,1,1,Spring,Electronics,2228.52,2228.52,2228.52,19,19,7,17
T1707,2024-12-08,Action Figure,13,853.08,20,154,0,Stormy,29.61,24,36.8,41.27,0,1,1,Spring,Toys,11090.04,8872.032,8872.032,9,8,11,11
T1708,2024-12-09,Sneakers,1,991.54,10,150,1,Sunny,14.3,77,46.82,96.37,1,1,0,Winter,Clothing,991.54,892.386,-99.154,19,3,2,12
T1709,2024-12-10,Blender,8,729.57,5,375,0,Stormy,29.13,66,47.99,40.03,0,1,1,Spring,Kitchen,5836.56,5544.732,5544.732,11,16,17,16
T1710,2024-12-11,Action Figure,12,786.92,10,58,0,Rainy,11.73,65,48.45,36.38,0,0,1,Fall,Toys,9443.04,8498.736,8498.736,13,15,1,6
T1711,2024-12-12,T-shirt,19,994.47,15,63,1,Snow,5.98,16,31.28,70.36,0,0,0,Summer,Clothing,18894.93,16060.6905,15066.2205,14,3,2,15
T1712,2024-12-13,Bookshelf,12,609.43,15,156,0,Cloudy,27.81,60,19.24,17.87,0,0,0,Winter,Furniture,7313.16,6216.186,6216.186,3,8,3,3
T1713,2024-12-14,Laptop,8,314.81,15,449,1,Snow,13.89,67,6.66,36.33,1,1,0,Spring,Electronics,2518.48,2140.708,1825.898,13,7,5,9
T1714,2024-12-15,Monitor,8,839.16,20,428,0,Rainy,39.16,73,19.28,29.13,1,0,1,Winter,Electronics,6713.28,5370.624,5370.624,14,19,18,14
T1715,2024-12-16,Toy Car,13,618.34,0,356,0,Rainy,10.73,35,47.15,60.15,1,1,1,Winter,Toys,8038.42,8038.42,8038.42,11,4,13,4
T1716,2024-12-17,Action Figure,12,585.38,10,427,1,Sunny,36.48,67,44.49,16.28,0,1,1,Summer,Toys,7024.56,6322.104,5736.724,12,6,3,15
T1717,2024-12-18,Board Game,16,261.1,5,421,0,Stormy,36.98,40,26.18,54.87,0,1,1,Summer,Toys,4177.6,3968.72,3968.72,13,4,5,19
T1718,2024-12-19,Watch,1,758.77,15,322,0,Stormy,5.88,75,26.85,85.75,0,0,0,Spring,Clothing,758.77,644.9545,644.9545,16,4,12,13
T1719,2024-12-20,Sofa,13,90.85,10,401,1,Snow,30.92,22,15.45,51.42,1,1,0,Summer,Furniture,1181.05,1062.945,972.095,13,1,10,12
T1720,2024-12-21,Wardrobe,7,925.04,15,168,0,Cloudy,14.49,27,22.73,68.35,1,0,0,Fall,Furniture,6475.28,5503.988,5503.988,17,5,2,15
T1721,2024-12-22,Sofa,5,332.57,15,166,1,Cloudy,36.29,84,35.72,7.52,1,0,0,Winter,Furniture,1662.85,1413.4225,1080.8525,13,18,10,18
T1722,2024-12-23,Microwave,8,136.5,5,85,0,Sunny,15.26,22,20.12,44.9,0,0,0,Summer,Kitchen,1092,1037.4,1037.4,17,6,16,5
T1723,2024-12-24,Wardrobe,14,447.94,20,445,1,Rainy,28.49,33,9.4,9.49,0,0,1,Spring,Furniture,6271.16,5016.928,4568.988,7,8,17,14
T1724,2024-12-25,T-shirt,13,52.05,0,137,1,Sunny,16.01,66,27.04,59.95,1,0,1,Spring,Clothing,676.65,676.65,624.6,19,14,15,19
T1725,2024-12-26,Dining Table,15,687.78,20,461,1,Stormy,5.25,38,11.27,28.11,0,0,1,Spring,Furniture,10316.7,8253.36,7565.58,5,15,14,6
T1726,2024-12-27,Watch,17,903.68,10,459,1,Rainy,3.97,65,48.71,28.73,0,0,0,Fall,Clothing,15362.56,13826.304,12922.624,1,8,15,2
T1727,2024-12-28,Monitor,15,838.89,20,189,1,Sunny,14.14,63,19.52,7.68,1,0,0,Summer,Electronics,12583.35,10066.68,9227.79,8,14,18,19
T1728,2024-12-29,Camera,18,136.1,10,464,0,Snow,29,14,45.48,31.02,0,1,1,Summer,Electronics,2449.8,2204.82,2204.82,7,16,15,18
T1729,2024-12-30,T-shirt,18,135.01,10,400,0,Stormy,22.23,44,11.28,50.67,0,1,1,Fall,Clothing,2430.18,2187.162,2187.162,13,9,16,18
T1730,2024-12-31,Bookshelf,2,815.3,0,379,1,Cloudy,25.99,28,9.46,58.47,1,0,1,Summer,Furniture,1630.6,1630.6,815.3,12,8,6,5
T1731,2025-01-01,Action Figure,4,925.01,5,2,0,Sunny,7.7,64,30.85,6.67,0,0,1,Summer,Toys,3700.04,3515.038,3515.038,12,17,6,17
T1732,2025-01-02,Dining Table,1,466.06,0,106,1,Stormy,16.66,86,38.97,65.15,0,0,1,Summer,Furniture,466.06,466.06,0,15,12,2,12
T1733,2025-01-03,Action Figure,4,503.98,20,364,0,Stormy,-3,78,28.34,48.89,0,0,1,Fall,Toys,2015.92,1612.736,1612.736,4,10,14,13
T1734,2025-01-04,Headphones,18,325.08,10,72,0,Cloudy,31.79,53,11.49,53.69,0,0,0,Fall,Electronics,5851.44,5266.296,5266.296,11,2,15,16
T1735,2025-01-05,Action Figure,5,895.32,15,427,1,Cloudy,39.55,87,1.89,83.28,1,1,1,Spring,Toys,4476.6,3805.11,2909.79,4,7,5,19
T1736,2025-01-06,Television,19,648.45,15,126,1,Cloudy,13.31,47,30.91,34.22,1,0,0,Fall,Electronics,12320.55,10472.4675,9824.0175,9,6,13,5
T1737,2025-01-07,Television,15,295.37,10,170,0,Sunny,-4.51,71,6.55,17.41,0,0,1,Fall,Electronics,4430.55,3987.495,3987.495,19,3,2,10
T1738,2025-01-08,Wardrobe,8,305.8,0,205,0,Cloudy,2.64,31,17.16,55.18,1,0,0,Spring,Furniture,2446.4,2446.4,2446.4,14,4,6,3
T1739,2025-01-09,Microwave,17,892.29,5,313,1,Snow,24.36,82,33.79,94.5,1,1,0,Fall,Kitchen,15168.93,14410.4835,13518.1935,8,19,10,17
T1740,2025-01-10,Toy Car,1,23.5,0,337,0,Stormy,22.54,49,4.9,51.79,1,1,0,Summer,Toys,23.5,23.5,23.5,13,12,9,9
T1741,2025-01-11,Watch,12,329.5,10,487,0,Cloudy,30.45,35,6.36,83.19,0,0,1,Winter,Clothing,3954,3558.6,3558.6,17,17,16,11
T1742,2025-01-12,Camera,19,558.81,10,472,1,Stormy,6.42,14,3.08,75.7,0,1,1,Spring,Electronics,10617.39,9555.651,8996.841,18,4,18,4
T1743,2025-01-13,Board Game,15,156.74,5,195,0,Rainy,29.36,63,49.8,51.83,1,1,1,Winter,Toys,2351.1,2233.545,2233.545,16,18,14,6
T1744,2025-01-14,Laptop,9,101.18,20,158,1,Rainy,25.96,95,19.35,64.76,1,1,1,Winter,Electronics,910.62,728.496,627.316,8,15,13,11
T1745,2025-01-15,Headphones,7,817.12,20,141,1,Cloudy,9.53,58,45.29,40.67,1,1,0,Spring,Electronics,5719.84,4575.872,3758.752,18,13,14,3
T1746,2025-01-16,T-shirt,2,895.46,5,275,1,Stormy,19.55,12,14.68,53.06,1,1,1,Winter,Clothing,1790.92,1701.374,805.914,18,4,15,17
T1747,2025-01-17,Laptop,9,825.37,20,7,0,Rainy,1.63,47,37.66,50.73,0,1,1,Winter,Electronics,7428.33,5942.664,5942.664,9,17,3,3
T1748,2025-01-18,Board Game,10,899.8,15,393,0,Cloudy,15.37,23,10.95,70.91,1,1,1,Spring,Toys,8998,7648.3,7648.3,15,12,14,13
T1749,2025-01-19,Smartphone,2,557.58,20,467,1,Stormy,34.65,56,24.92,41,0,1,0,Spring,Electronics,1115.16,892.128,334.548,17,9,3,13
T1750,2025-01-20,Laptop,19,814.14,20,493,1,Cloudy,13.95,23,41.23,9.98,0,0,0,Summer,Electronics,15468.66,12374.928,11560.788,9,1,2,4
T1751,2025-01-21,Laptop,11,390.2,20,54,0,Stormy,32.78,84,40.82,78.87,0,0,1,Spring,Electronics,4292.2,3433.76,3433.76,19,14,9,11
T1752,2025-01-22,Coffee Maker,13,669.61,15,104,0,Rainy,21.56,82,39.71,68.49,0,1,1,Fall,Kitchen,8704.93,7399.1905,7399.1905,9,13,5,6
T1753,2025-01-23,Dining Table,10,988.95,20,342,0,Cloudy,3.63,47,41.19,95.01,0,1,1,Winter,Furniture,9889.5,7911.6,7911.6,1,4,10,1
T1754,2025-01-24,Blender,14,233.47,15,338,1,Rainy,21.15,73,10.57,42.87,0,0,1,Spring,Kitchen,3268.58,2778.293,2544.823,8,9,10,3
T1755,2025-01-25,Camera,18,396,5,61,1,Cloudy,17.77,53,24.11,7.82,0,0,0,Summer,Electronics,7128,6771.6,6375.6,19,7,9,8
T1756,2025-01-26,Monitor,19,485.25,0,87,0,Sunny,12.94,79,24.24,12.16,1,1,1,Spring,Electronics,9219.75,9219.75,9219.75,15,16,11,5
T1757,2025-01-27,Toy Car,9,146.64,5,258,0,Rainy,0.38,74,44.53,77.33,0,0,1,Winter,Toys,1319.76,1253.772,1253.772,1,19,19,13
T1758,2025-01-28,Television,7,90.23,0,178,0,Rainy,13.75,34,14.84,6.78,1,1,0,Spring,Electronics,631.61,631.61,631.61,15,9,7,3
T1759,2025-01-29,Board Game,3,831.43,5,242,1,Snow,-1.73,25,46.57,90.78,1,0,1,Winter,Toys,2494.29,2369.5755,1538.1455,10,19,19,11
T1760,2025-01-30,Dining Table,6,977.03,0,203,1,Rainy,-0.56,24,22.54,28.17,1,1,1,Spring,Furniture,5862.18,5862.18,4885.15,10,6,6,3
T1761,2025-01-31,Laptop,2,410.68,0,31,0,Stormy,13.72,90,33.49,89.89,1,0,1,Summer,Electronics,821.36,821.36,821.36,11,3,4,18
T1762,2025-02-01,Headphones,6,96.77,10,289,0,Cloudy,8.74,12,13.44,77.35,1,1,0,Fall,Electronics,580.62,522.558,522.558,7,12,14,5
T1763,2025-02-02,Blender,3,75.15,0,462,1,Sunny,36.65,76,20.51,87.12,0,0,0,Summer,Kitchen,225.45,225.45,150.3,14,2,7,13
T1764,2025-02-03,Dining Table,16,892.41,0,80,1,Stormy,11.91,46,35.49,21.4,0,0,1,Spring,Furniture,14278.56,14278.56,13386.15,6,8,2,8
T1765,2025-02-04,Action Figure,8,469.18,10,11,0,Stormy,29.1,90,25.64,59.57,1,1,1,Winter,Toys,3753.44,3378.096,3378.096,5,9,3,17
T1766,2025-02-05,Laptop,2,326.83,20,417,0,Stormy,18.86,64,46.54,9.36,1,1,0,Summer,Electronics,653.66,522.928,522.928,2,13,1,2
T1767,2025-02-06,Wardrobe,17,481.7,20,254,0,Stormy,26.68,47,36.86,20.23,1,0,0,Fall,Furniture,8188.9,6551.12,6551.12,8,4,19,3
T1768,2025-02-07,Laptop,9,325.12,10,384,1,Sunny,6.71,72,28.22,30.99,0,0,0,Fall,Electronics,2926.08,2633.472,2308.352,2,8,7,13
T1769,2025-02-08,Toy Car,12,494.15,15,391,0,Snow,37.39,10,44.33,74.08,1,1,1,Winter,Toys,5929.8,5040.33,5040.33,9,6,15,10
T1770,2025-02-09,Headphones,3,860.96,0,384,1,Rainy,18.85,80,33.28,2.47,0,0,0,Spring,Electronics,2582.88,2582.88,1721.92,6,13,3,14
T1771,2025-02-10,Action Figure,11,596.38,0,287,1,Stormy,32.41,99,32.37,90.31,0,0,0,Summer,Toys,6560.18,6560.18,5963.8,8,13,8,17
T1772,2025-02-11,Blender,1,697.71,10,176,0,Rainy,11.43,28,12.32,7.08,1,0,0,Summer,Kitchen,697.71,627.939,627.939,3,9,11,12
T1773,2025-02-12,Television,13,371.02,10,126,0,Rainy,-0.49,61,19.74,37.65,0,0,1,Winter,Electronics,4823.26,4340.934,4340.934,7,9,19,5
T1774,2025-02-13,Toy Car,15,741.12,15,494,1,Stormy,25.32,39,34.17,8.11,0,0,0,Summer,Toys,11116.8,9449.28,8708.16,12,3,2,4
T1775,2025-02-14,T-shirt,5,669.95,20,47,0,Snow,-4.65,64,44.59,76.9,0,1,1,Winter,Clothing,3349.75,2679.8,2679.8,2,2,18,19
T1776,2025-02-15,Microwave,17,128.37,5,206,1,Rainy,16.39,23,15.78,14.13,1,0,1,Winter,Kitchen,2182.29,2073.1755,1944.8055,17,9,8,6
T1777,2025-02-16,Board Game,6,576.92,20,476,0,Cloudy,3.68,22,10.77,88.48,1,0,1,Spring,Toys,3461.52,2769.216,2769.216,3,12,9,10
T1778,2025-02-17,Laptop,11,264.18,0,437,0,Rainy,23.23,93,29.68,53.02,1,1,1,Winter,Electronics,2905.98,2905.98,2905.98,9,9,15,11
T1779,2025-02-18,Dining Table,18,806.05,10,107,0,Stormy,39.07,99,3.36,94.85,1,1,0,Summer,Furniture,14508.9,13058.01,13058.01,16,10,5,2
T1780,2025-02-19,Toy Car,4,431.68,15,464,0,Sunny,15.9,36,35.73,29.04,1,1,1,Winter,Toys,1726.72,1467.712,1467.712,15,8,9,19
T1781,2025-02-20,Smartphone,3,994.74,20,275,1,Rainy,31.79,98,35.16,45.43,1,1,1,Summer,Electronics,2984.22,2387.376,1392.636,2,9,3,17
T1782,2025-02-21,Wardrobe,13,101.58,15,337,1,Snow,17.85,18,17.75,69.42,1,1,1,Winter,Furniture,1320.54,1122.459,1020.879,17,8,14,19
T1783,2025-02-22,Microwave,9,782.54,20,123,1,Cloudy,17.31,50,44.63,83.19,1,0,0,Spring,Kitchen,7042.86,5634.288,4851.748,17,15,5,11
T1784,2025-02-23,Action Figure,6,676.96,0,474,0,Cloudy,36.87,57,25.11,42.14,0,0,0,Spring,Toys,4061.76,4061.76,4061.76,11,12,15,8
T1785,2025-02-24,Smartphone,12,769.82,5,134,1,Sunny,35.05,21,32.29,89.24,1,0,0,Winter,Electronics,9237.84,8775.948,8006.128,3,8,8,14
T1786,2025-02-25,Sneakers,2,314.45,15,107,1,Sunny,30.36,19,10.48,11.8,0,1,0,Winter,Clothing,628.9,534.565,220.115,1,1,15,15
T1787,2025-02-26,Laptop,3,497.13,15,305,1,Rainy,8.33,15,20.87,70.87,0,1,1,Winter,Electronics,1491.39,1267.6815,770.5515,11,9,17,4
T1788,2025-02-27,Board Game,3,798.54,5,329,0,Stormy,19.53,43,43.12,34.82,1,1,1,Spring,Toys,2395.62,2275.839,2275.839,6,14,19,4
T1789,2025-02-28,Blender,12,240.22,15,50,1,Snow,5.08,61,10.65,10.13,0,0,1,Fall,Kitchen,2882.64,2450.244,2210.024,1,8,8,6
T1790,2025-03-01,Dining Table,15,233.77,15,337,0,Cloudy,14.98,50,19.53,38.67,0,0,0,Winter,Furniture,3506.55,2980.5675,2980.5675,18,5,12,11
T1791,2025-03-02,T-shirt,9,555.54,20,95,0,Sunny,16.79,92,15.9,88.02,1,0,0,Fall,Clothing,4999.86,3999.888,3999.888,5,1,3,4
T1792,2025-03-03,Blender,8,528.33,20,268,1,Snow,32.42,15,7.56,98.05,0,0,0,Winter,Kitchen,4226.64,3381.312,2852.982,12,17,17,4
T1793,2025-03-04,Monitor,11,289.44,5,23,0,Stormy,35.32,11,14.49,39.28,1,0,1,Summer,Electronics,3183.84,3024.648,3024.648,19,1,12,8
T1794,2025-03-05,Smartphone,16,305.09,0,54,1,Cloudy,13.66,24,11.64,88.64,0,0,1,Spring,Electronics,4881.44,4881.44,4576.35,12,11,9,7
T1795,2025-03-06,Laptop,4,285.07,15,374,1,Cloudy,-4.2,26,46.18,50.97,0,1,1,Fall,Electronics,1140.28,969.238,684.168,3,19,1,5
T1796,2025-03-07,Bookshelf,1,773.8,0,254,1,Stormy,33.78,25,37.05,71.7,1,0,0,Fall,Furniture,773.8,773.8,0,2,12,11,2
T1797,2025-03-08,Watch,7,655.38,5,453,1,Cloudy,2.84,37,15.81,4.54,0,0,0,Spring,Clothing,4587.66,4358.277,3702.897,12,9,5,19
T1798,2025-03-09,Board Game,2,834.09,5,235,1,Stormy,22.98,94,38.17,55.73,0,0,1,Fall,Toys,1668.18,1584.771,750.681,3,13,6,15
T1799,2025-03-10,Watch,5,975.72,20,484,0,Cloudy,-3.88,81,1.11,7.02,1,0,0,Winter,Clothing,4878.6,3902.88,3902.88,7,19,9,6
T1800,2025-03-11,Microwave,7,479.42,15,59,1,Rainy,12.98,19,26.33,26.86,1,0,1,Fall,Kitchen,3355.94,2852.549,2373.129,9,3,10,10
T1801,2025-03-12,Headphones,4,76.03,10,164,0,Stormy,39.37,19,12.52,56.68,0,1,1,Winter,Electronics,304.12,273.708,273.708,3,12,14,11
T1802,2025-03-13,T-shirt,5,57.61,5,259,1,Snow,-0.47,19,5.72,80.72,0,0,0,Fall,Clothing,288.05,273.6475,216.0375,9,14,15,5
T1803,2025-03-14,Television,1,302.71,15,314,1,Rainy,14.07,82,44.19,56.09,1,0,1,Summer,Electronics,302.71,257.3035,-45.4065,13,6,2,5
T1804,2025-03-15,Headphones,1,933.22,0,216,1,Snow,8.82,37,9.97,93.62,0,1,1,Fall,Electronics,933.22,933.22,0,4,17,17,8
T1805,2025-03-16,Smartphone,15,527.98,20,183,0,Cloudy,35.73,33,41.12,81.03,1,1,1,Fall,Electronics,7919.7,6335.76,6335.76,16,15,14,19
T1806,2025-03-17,Board Game,19,279.07,0,57,0,Snow,34.12,28,20.66,15.62,1,0,1,Winter,Toys,5302.33,5302.33,5302.33,2,16,4,5
T1807,2025-03-18,Camera,10,405.18,5,145,0,Rainy,5.7,77,0.71,38.9,1,0,1,Spring,Electronics,4051.8,3849.21,3849.21,18,10,8,19
T1808,2025-03-19,Wardrobe,18,602.61,5,423,0,Stormy,-1.35,65,36.63,66.85,0,0,0,Summer,Furniture,10846.98,10304.631,10304.631,13,9,1,8
T1809,2025-03-20,Camera,3,656.42,0,90,1,Sunny,23.22,76,29.82,93.84,0,0,1,Spring,Electronics,1969.26,1969.26,1312.84,10,11,8,3
T1810,2025-03-21,Blender,11,162.38,5,452,1,Snow,10.14,51,17.21,98.77,0,0,0,Winter,Kitchen,1786.18,1696.871,1534.491,8,11,6,7
T1811,2025-03-22,Action Figure,15,977.26,15,311,0,Sunny,25.24,21,14.08,76.32,1,1,1,Summer,Toys,14658.9,12460.065,12460.065,6,12,6,7
T1812,2025-03-23,Laptop,11,549.32,5,45,0,Snow,-3.55,27,3.68,57.38,0,1,0,Fall,Electronics,6042.52,5740.394,5740.394,4,11,14,17
T1813,2025-03-24,Monitor,17,144.33,20,460,0,Snow,1,32,47.07,75.66,1,0,0,Spring,Electronics,2453.61,1962.888,1962.888,11,13,11,8
T1814,2025-03-25,Wardrobe,17,894.7,15,257,1,Stormy,25.89,93,24.7,27.32,0,0,0,Spring,Furniture,15209.9,12928.415,12033.715,18,17,2,8
T1815,2025-03-26,Board Game,6,83.89,10,21,0,Cloudy,4.56,15,4.28,28.36,1,1,1,Spring,Toys,503.34,453.006,453.006,19,15,18,15
T1816,2025-03-27,Microwave,5,908.66,5,467,0,Rainy,33.59,62,43.43,65.43,1,1,0,Fall,Kitchen,4543.3,4316.135,4316.135,7,14,1,12
T1817,2025-03-28,Bookshelf,8,996.6,5,21,1,Rainy,-2.36,51,13.94,87.18,0,0,1,Winter,Furniture,7972.8,7574.16,6577.56,1,8,12,2
T1818,2025-03-29,Sneakers,2,703.43,20,52,0,Rainy,4.7,75,10.18,96.98,1,0,1,Fall,Clothing,1406.86,1125.488,1125.488,2,14,13,3
T1819,2025-03-30,Blender,16,772.74,20,338,1,Cloudy,39.94,39,14.05,34.13,0,0,0,Fall,Kitchen,12363.84,9891.072,9118.332,11,8,16,13
T1820,2025-03-31,Camera,12,343.93,0,171,1,Sunny,14.49,18,28.23,79.66,0,0,0,Winter,Electronics,4127.16,4127.16,3783.23,3,6,12,17
T1821,2025-04-01,Headphones,6,942.16,0,436,1,Rainy,26.63,51,3.7,85.15,0,0,1,Winter,Electronics,5652.96,5652.96,4710.8,1,11,9,2
T1822,2025-04-02,Microwave,1,534.42,0,67,1,Sunny,3.22,43,24.09,62.32,0,0,1,Fall,Kitchen,534.42,534.42,0,5,17,16,9
T1823,2025-04-03,Monitor,4,735.06,20,113,1,Cloudy,22.44,49,44.79,34.76,0,1,1,Winter,Electronics,2940.24,2352.192,1617.132,17,19,15,16
T1824,2025-04-04,Monitor,17,924.87,0,300,0,Cloudy,27.67,97,9.41,61.91,1,1,0,Spring,Electronics,15722.79,15722.79,15722.79,4,14,19,2
T1825,2025-04-05,Smartphone,13,975.43,0,160,0,Stormy,9.15,26,16.56,58.44,0,1,1,Summer,Electronics,12680.59,12680.59,12680.59,15,17,17,11
T1826,2025-04-06,Television,18,834.87,10,266,1,Rainy,32.3,38,19.81,60.65,1,1,1,Winter,Electronics,15027.66,13524.894,12690.024,1,19,12,2
T1827,2025-04-07,Television,5,309.99,0,320,1,Stormy,22.15,59,29.31,61.93,0,0,1,Summer,Electronics,1549.95,1549.95,1239.96,18,9,3,19
T1828,2025-04-08,Blender,3,966.88,5,232,0,Rainy,12.51,85,45.96,84.71,1,1,1,Spring,Kitchen,2900.64,2755.608,2755.608,16,14,9,10
T1829,2025-04-09,Camera,11,631.84,20,463,0,Cloudy,20.09,58,19.73,17.01,1,1,1,Winter,Electronics,6950.24,5560.192,5560.192,12,7,9,2
T1830,2025-04-10,Board Game,13,931.34,15,325,1,Cloudy,20.95,82,3.46,36.73,0,0,1,Fall,Toys,12107.42,10291.307,9359.967,6,10,12,19
T1831,2025-04-11,Sneakers,4,679.34,10,68,0,Snow,2.45,70,17.4,58.6,1,1,1,Fall,Clothing,2717.36,2445.624,2445.624,2,11,6,9
T1832,2025-04-12,Monitor,14,314.17,20,28,0,Snow,13.12,92,9.5,28.33,0,0,1,Spring,Electronics,4398.38,3518.704,3518.704,17,8,19,18
T1833,2025-04-13,Board Game,11,376.32,20,437,1,Cloudy,10.45,55,32.59,97.82,0,0,1,Winter,Toys,4139.52,3311.616,2935.296,13,3,19,18
T1834,2025-04-14,Board Game,10,554.97,5,116,0,Cloudy,13.04,55,1.46,26.32,0,1,1,Fall,Toys,5549.7,5272.215,5272.215,11,6,12,16
T1835,2025-04-15,Toy Car,19,792.11,0,51,0,Sunny,29.25,26,14.6,46.96,1,1,1,Winter,Toys,15050.09,15050.09,15050.09,4,11,14,19
